eno,ename,deptno,Salary
941,Employee_941,50.0,4114
942,Employee_942,50.0,8608
943,Employee_943,10.0,9922
944,Employee_944,20.0,5884
945,Employee_945,40.0,2640
946,Employee_946,10.0,1796
947,Employee_947,40.0,1359
948,Employee_948,20.0,3168
949,Employee_949,50.0,9443
950,Employee_950,40.0,9750
951,Employee_951,50.0,4618
952,Employee_952,40.0,2325
953,Employee_953,30.0,6641
954,Employee_954,50.0,1968
955,Employee_955,30.0,3630
956,Employee_956,30.0,2730
957,Employee_957,,9594
958,Employee_958,10.0,3292
959,Employee_959,30.0,7255
960,Employee_960,40.0,1035
961,Employee_961,30.0,5797
962,Employee_962,50.0,1556
963,Employee_963,10.0,5007
964,Employee_964,30.0,4040
965,Employee_965,40.0,8910
966,Employee_966,20.0,9397
967,Employee_967,30.0,6718
968,Employee_968,30.0,5459
969,Employee_969,10.0,5797
970,Employee_970,40.0,4882
971,Employee_971,40.0,1552
972,Employee_972,40.0,9078
973,Employee_973,20.0,5454
974,Employee_974,10.0,8298
975,Employee_975,10.0,4599
976,Employee_976,20.0,5884
977,Employee_977,10.0,2754
978,Employee_978,20.0,1492
979,Employee_979,40.0,4056
980,Employee_980,,3370
981,Employee_981,20.0,8649
982,Employee_982,10.0,6027
983,Employee_983,30.0,6868
984,Employee_984,30.0,6737
985,Employee_985,30.0,6917
986,Employee_986,30.0,4609
987,Employee_987,30.0,1566
988,Employee_988,50.0,4863
989,Employee_989,20.0,1363
990,Employee_990,20.0,1034
991,Employee_991,,5143
992,Employee_992,30.0,7840
993,Employee_993,30.0,3082
994,Employee_994,20.0,4970
995,Employee_995,20.0,3485
996,Employee_996,30.0,3336
997,Employee_997,40.0,7972
998,Employee_998,50.0,3403
999,Employee_999,10.0,1644
1000,Employee_1000,30.0,3093
